sign_positions,steps,weights,step_wise_walking_positions,step_wise_attentions,step_wise_walking_speeds,step_wise_reading_ratios,step_wise_reading_progress 
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.24,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.24,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.24,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.25,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.25,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.25,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.25,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.25,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.25,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.25,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.25,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.25,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.25,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.26,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.26,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.26,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.26,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.26,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.26,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.26,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.26,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.26,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.26,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.27,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.27,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.27,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.27,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.27,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.27,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.27,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.27,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.27,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.27,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.28,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.28,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.28,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.28,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.28,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.28,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.28,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.28,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.28,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.28,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.29,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.29,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.29,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.29,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.29,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.29,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.29,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.29,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.29,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.29,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.3,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.3,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.3,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.3,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.3,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.3,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.3,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.3,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.3,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.3,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.31,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.31,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.31,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.31,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.31,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.31,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.31,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.31,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.31,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.31,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.32,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.32,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.32,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.32,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.32,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.32,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.32,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.32,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.32,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.32,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.33,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.33,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.33,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.33,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.33,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4]",0.33,"[1.35, 2.1, 3.45, 4.800000000000001]","['NA', 'Sign', 'Sign', 'NA']","[0.9, 0.5, 0.9, 0.9]","[0.3, 0.85, 0.3, 0.3]","[0, 0, 0, 0]"
